"Regulon"	"Lengths"	"Genes"
"RutR2"	7	"PA0443;PA0444;PA0441;PA0440;PA0439;PA0438;PA0437"
"PhhR"	5	"PA0865;PA0873;PA0872;PA0871;PA0870"
"HexR"	9	"PA3184;PA3194;PA3193;PA3192;PA3191;PA3195;PA3183;PA3182;PA3181"
"DesT"	3	"PA1610;PA4889;PA4888"
"HexR1"	5	"PA5439;PA5015;PA5016;PA5438;PA3185"
"BirA"	5	"PA0500;PA0501;PA0502;PA0503;PA0504"
"NtrR"	5	"PA4917;PA4916;PA4918;PA4919;PA4920"
"NrdR"	7	"PA1920;PA1919;PA5497;PA5496;PA1156;PA1155;PA3011"
"SahR"	2	"PA0547;PA0546"
"Zur"	17	"PA5499;PA5500;PA5501;PA0781;PA3601;PA3600;PA5536;PA5535;PA5534;PA4838;PA5537;PA5539;PA5540;PA5541;PA5538;PA4063;PA5498"
"LldR"	4	"PA4769;PA4770;PA4771;PA4772"
"NorR"	4	"PA2664;PA2663;PA2662;PA2665"
"PrpR"	6	"PA0797;PA0796;PA0795;PA0794;PA0793;PA0792"
"HutC"	13	"PA5105;PA5104;PA5106;PA5100;PA5099;PA5098;PA5097;PA5096;PA5095;PA5094;PA5093;PA5092;PA5091"
"HypR"	11	"PA1269;PA1268;PA1267;PA1260;PA1259;PA1258;PA1257;PA1256;PA1255;PA1254;PA1253"
"IscR"	9	"PA3815;PA3814;PA3813;PA3812;PA3811;PA3810;PA3809;PA3808;PA0665"
"NagQ"	5	"PA3757;PA3758;PA3759;PA3760;PA3761"
"GlcC"	5	"PA5355;PA5354;PA5353;PA5352;PA5356"
"NtrC"	8	"PA5124;PA5125;PA1730;PA1731;PA1732;PA5119;PA5288;PA5287"
"FruR"	4	"PA3563;PA3562;PA3561;PA3560"
"RbsR"	5	"PA1946;PA1947;PA1948;PA1949;PA1950"
"ModE"	3	"PA1863;PA1862;PA1861"
"LexA"	16	"PA3413;PA0069;PA0922;PA0671;PA0670;PA0669;PA3007;PA3008;PA4763;PA3617;PA3616;PA1045;PA1865;PA1866;PA2288;PA3413"
"LiuR"	7	"PA2557;PA2016;PA2015;PA2014;PA2013;PA2012;PA2011"
"PsrA"	13	"PA0506;PA0507;PA0508;PA1831;PA1830;PA3014;PA3013;PA3622;PA2953;PA2952;PA2951;PA5255;PA3006"
"RutR"	12	"PA1517;PA1516;PA1515;PA1514;PA1513;PA0136;PA0137;PA0138;PA0165;PA0166;PA0167;PA0168"
"VanR"	3	"PA4904;PA4905;PA4903"
"PhnF"	10	"PA3381;PA3380;PA3379;PA3378;PA3377;PA3376;PA3375;PA3374;PA3373;PA3372"
"PhnR"	14	"PA3249;PA3250;PA3251;PA3252;PA3253;PA3254;PA3255;PA2802;PA2803;PA2804;PA1144;PA1143;PA1142;PA3255"
"RabR2"	3	"PA1539;PA1538;PA1537"
"RutR3"	5	"PA1524;PA1523;PA1522;PA1521;PA1519"
"yybP"	2	"PA4629;PA2910"
"TPP"	1	"PA4973"
"SAH_riboswitch"	3	"PA0432;PA0431;PA0430"
"S15"	1	"PA4741"
"Cobalamin"	24	"PA2906;PA2905;PA2904;PA2903;PA1271;PA1272;PA1273;PA1274;PA1275;PA1276;PA1277;PA1278;PA1279;PA1280;PA1281;PA2946;PA2947;PA2948;PA2911;PA2912;PA2913;PA2914;PA2945;PA2944"
"FMN"	3	"PA4055;PA4054;PA4053"
"PA2100"	2	"PA2101;PA2102"
"GntR"	3	"PA2322;PA2321;PA2320"
"SoxR"	7	"PA3718;PA4205;PA4206;PA4207;PA4208;PA2274;PA2273"
"CueR"	4	"PA3920;PA3523;PA3522;PA3521"
"CadR"	1	"PA3690"
"PtxS"	8	"PA2259;PA2260;PA2261;PA2262;PA2263;PA2264;PA2265;PA2266"
"PA2299"	8	"PA2299;PA2298;PA2297;PA2296;PA2295;PA2294;PA2293;PA2292"
"PA1520"	16	"PA2938;PA1520;PA1518;PA1502;PA1501;PA1500;PA0165;PA1503;PA1507;PA1517;PA1516;PA1515;PA1514;PA1513;PA0476;PA1519"
"UreR"	2	"PA0119;PA0120"
"MetR"	3	"PA1843;PA3587;PA1927"
"PA0268"	2	"PA0269;PA0270"
"YdcR"	3	"PA4130;PA4129;PA4133"
"GcvR"	5	"PA2446;PA2445;PA2444;PA2443;PA2442"
"HmgR"	5	"PA2010;PA2009;PA2008;PA2007;PA2006"
"PdxR"	1	"PA4166"
"YjiR"	1	"PA2031"
"EutR"	5	"PA5506;PA5507;PA5508;PA5509;PA5510"
"SdaR"	2	"PA1051;PA1052"
"PhrR"	4	"PA4657;PA4658;PA4659;PA4660"
"PdxW2"	2	"PA5432;PA5433"
