	module id
PA14_55610	1.0
PA14_55600	1.0
PA14_55590	19.0
PA14_55580	21.0
PA14_55570	21.0
PA14_55560	40.0
PA14_55550	1.0
PA14_55540	1.0
PA14_55530	1.0
PA14_55520	1.0
PA14_55510	1.0
PA14_55500	1.0
PA14_55490	1.0
PA14_55480	1.0
PA14_55470	1.0
PA14_55460	1.0
PA14_55450	1.0
PA14_55440	1.0
PA14_55430	1.0
PA14_55410	1.0
PA14_55400	1.0
PA14_55390	40.0
PA14_55380	1.0
PA14_55360	1.0
PA14_55340	1.0
PA14_55330	1.0
PA14_55320	40.0
PA14_55300	40.0
PA14_55290	1.0
PA14_55280	1.0
PA14_55260	1.0
PA14_55250	1.0
PA14_55240	1.0
PA14_55230	1.0
PA14_55220	1.0
PA14_55200	42.0
PA14_55180	3.0
PA14_55170	36.0
PA14_55160	36.0
PA14_55150	1.0
PA14_55140	45.0
PA14_55130	45.0
PA14_55110	0.0
PA14_55100	0.0
PA14_55090	12.0
PA14_55080	12.0
PA14_55070	10.0
PA14_55060	1.0
PA14_55050	1.0
PA14_55040	1.0
PA14_55030	1.0
PA14_55020	1.0
PA14_55000	1.0
PA14_54980	1.0
PA14_54970	1.0
PA14_54960	1.0
PA14_54950	1.0
PA14_54940	1.0
PA14_54930	1.0
PA14_54920	1.0
PA14_54910	1.0
PA14_54900	1.0
PA14_54890	1.0
PA14_54880	44.0
PA14_54870	21.0
PA14_54860	21.0
PA14_54850	31.0
PA14_54830	51.0
PA14_54820	6.0
PA14_54810	30.0
PA14_54800	1.0
PA14_54790	4.0
PA14_54770	1.0
PA14_54760	1.0
PA14_54750	15.0
PA14_54740	15.0
PA14_54730	1.0
PA14_54720	1.0
PA14_54710	1.0
PA14_54700	1.0
PA14_54690	1.0
PA14_54680	42.0
PA14_54670	12.0
PA14_54660	7.0
PA14_54640	7.0
PA14_54630	7.0
PA14_54620	7.0
PA14_54610	1.0
PA14_54600	2.0
PA14_54590	10.0
PA14_54580	1.0
PA14_54570	1.0
PA14_54550	1.0
PA14_54540	1.0
PA14_54520	1.0
PA14_54510	1.0
PA14_54500	1.0
PA14_54490	2.0
PA14_54480	55.0
PA14_54470	3.0
PA14_54460	2.0
PA14_54450	6.0
PA14_54430	15.0
PA14_54420	0.0
PA14_54410	24.0
PA14_54400	0.0
PA14_54390	49.0
PA14_54370	5.0
PA14_54350	23.0
PA14_54340	30.0
PA14_54330	5.0
PA14_54320	23.0
PA14_54300	3.0
PA14_54290	46.0
PA14_54270	9.0
PA14_54260	8.0
PA14_54240	12.0
PA14_54230	16.0
PA14_54220	0.0
PA14_54210	10.0
PA14_54190	6.0
PA14_54180	52.0
PA14_54170	28.0
PA14_54150	28.0
PA14_54130	15.0
PA14_54120	1.0
PA14_54110	1.0
PA14_54090	1.0
PA14_54080	30.0
PA14_54070	4.0
PA14_54050	38.0
PA14_54040	28.0
PA14_54030	1.0
PA14_54010	38.0
PA14_54000	32.0
PA14_53980	16.0
PA14_53970	16.0
PA14_53950	7.0
PA14_53940	16.0
PA14_53920	16.0
PA14_53910	41.0
PA14_53900	1.0
PA14_53890	1.0
PA14_53880	1.0
PA14_53870	1.0
PA14_53860	42.0
PA14_53850	42.0
PA14_53840	0.0
PA14_53830	1.0
PA14_53820	19.0
PA14_53810	37.0
PA14_53800	6.0
PA14_53790	6.0
PA14_53780	6.0
PA14_53770	6.0
PA14_53750	6.0
PA14_53740	1.0
PA14_53730	37.0
PA14_53720	1.0
PA14_53700	1.0
PA14_53690	1.0
PA14_53680	1.0
PA14_53670	0.0
PA14_53660	6.0
PA14_53650	37.0
PA14_53640	6.0
PA14_53630	1.0
PA14_53620	11.0
PA14_53610	29.0
PA14_53600	29.0
PA14_53590	29.0
PA14_53580	33.0
PA14_53570	10.0
PA14_53560	1.0
PA14_53550	1.0
PA14_53540	1.0
PA14_53530	0.0
PA14_53520	3.0
PA14_53510	1.0
PA14_53500	0.0
PA14_53490	3.0
PA14_53480	28.0
PA14_53470	28.0
PA14_53450	33.0
PA14_53430	0.0
PA14_53420	12.0
PA14_53410	44.0
PA14_53400	1.0
PA14_53390	15.0
PA14_53380	40.0
PA14_53370	11.0
PA14_53360	1.0
PA14_53340	1.0
PA14_53330	57.0
PA14_53310	1.0
PA14_53300	0.0
PA14_53290	0.0
PA14_53270	42.0
PA14_53260	6.0
PA14_53250	32.0
PA14_53230	47.0
PA14_53220	47.0
PA14_53210	0.0
PA14_53200	44.0
PA14_53190	0.0
PA14_53180	31.0
PA14_53160	38.0
PA14_53150	3.0
PA14_53140	35.0
PA14_53120	35.0
PA14_53110	1.0
PA14_53100	1.0
PA14_53090	1.0
PA14_53070	32.0
PA14_53050	0.0
PA14_53040	0.0
PA14_53030	2.0
PA14_53020	26.0
PA14_53010	7.0
PA14_53000	7.0
PA14_52990	7.0
PA14_52980	1.0
PA14_52960	0.0
PA14_52940	1.0
PA14_52930	1.0
PA14_52920	1.0
PA14_52910	1.0
PA14_52900	1.0
PA14_52890	1.0
PA14_52880	1.0
PA14_52870	1.0
PA14_52850	1.0
PA14_52840	1.0
PA14_52820	1.0
PA14_52810	1.0
PA14_52800	16.0
PA14_52790	0.0
PA14_52780	5.0
PA14_52770	5.0
PA14_52760	33.0
PA14_52750	5.0
PA14_52740	25.0
PA14_52730	6.0
PA14_52720	7.0
PA14_52700	7.0
PA14_52690	7.0
PA14_52670	7.0
PA14_52660	7.0
PA14_52640	7.0
PA14_52630	7.0
PA14_52610	1.0
PA14_52600	5.0
PA14_52580	8.0
PA14_52570	48.0
PA14_52530	33.0
PA14_52520	19.0
PA14_52510	19.0
PA14_52500	19.0
PA14_52490	19.0
PA14_52480	19.0
PA14_52460	31.0
PA14_52440	9.0
PA14_52430	31.0
PA14_52420	31.0
PA14_52400	30.0
PA14_52380	35.0
PA14_52370	25.0
PA14_52350	1.0
PA14_52340	0.0
PA14_52330	19.0
PA14_52310	1.0
PA14_52300	1.0
PA14_52290	2.0
PA14_52280	1.0
PA14_52270	1.0
PA14_52260	1.0
PA14_52250	21.0
PA14_52240	4.0
PA14_52230	1.0
PA14_52210	16.0
PA14_52190	16.0
PA14_52180	24.0
PA14_52160	48.0
PA14_52150	3.0
PA14_52140	0.0
PA14_52130	0.0
PA14_52120	4.0
PA14_52110	4.0
PA14_52090	0.0
PA14_52080	0.0
PA14_52070	37.0
PA14_52060	5.0
PA14_52050	33.0
PA14_52040	5.0
PA14_52020	6.0
PA14_52010	31.0
PA14_52000	3.0
PA14_51990	13.0
PA14_51980	26.0
PA14_51960	1.0
PA14_51950	0.0
PA14_51940	37.0
PA14_51930	55.0
PA14_51920	55.0
PA14_51910	8.0
PA14_51900	8.0
PA14_51890	16.0
PA14_51880	0.0
PA14_51860	12.0
PA14_51850	12.0
PA14_51840	31.0
PA14_51830	0.0
PA14_51820	8.0
PA14_51810	23.0
PA14_51800	26.0
PA14_51790	10.0
PA14_51780	5.0
PA14_51770	20.0
PA14_51750	20.0
PA14_51740	20.0
PA14_51730	20.0
PA14_51720	20.0
PA14_51710	26.0
PA14_51690	8.0
PA14_51680	31.0
PA14_51670	4.0
PA14_51650	11.0
PA14_51640	11.0
PA14_51630	11.0
PA14_51620	40.0
PA14_51610	40.0
PA14_51600	40.0
PA14_51590	40.0
PA14_51580	40.0
