	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	operon_name
PA14_21260	25		755.1558111879035	19249.416666666668	19210.0	10.0	35540.0	35530.0
PA14_59490	33		23.784828536743653	16742.679738562092	13650.0	10.0	36510.0	36500.0	PA14_59480-PA14_59490-PA14_59500-PA14_59510
PA14_01160	19		513.5623651200115	19104.552631578947	20205.0	10.0	36640.0	36630.0	PA14_01160-PA14_01170-PA14_01180-PA14_01190-PA14_01200-PA14_01220-PA14_01230
PA14_00410	19		89.7505720875077	19104.552631578947	20205.0	10.0	36640.0	36630.0	PA14_00400-PA14_00410
PA14_51550	12		156.795236399961	11923.272727272728	6500.0	10.0	36680.0	36670.0
PA14_30980	30		194.947630174736	17996.339869281044	17600.0	10.0	36590.0	36580.0	PA14_31040-PA14_31030-PA14_31010-PA14_31000-PA14_30990-PA14_30980
PA14_30950	17		8.619539819134395	18373.333333333332	17970.0	10.0	35990.0	35980.0	PA14_30960-PA14_30950-PA14_30940-PA14_30930
PA14_59590	2		220.39986613718747	17373.736263736264	16080.0	10.0	36240.0	36230.0
PA14_20520	25		313.725198341529	19249.416666666668	19210.0	10.0	35540.0	35530.0	PA14_20510-PA14_20520-PA14_20530
PA14_59100	4		107.17004385766501	3354.4761904761904	685.0	10.0	25070.0	25060.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_51580	30		17.041169328685946	17996.339869281044	17600.0	10.0	36590.0	36580.0
PA14_04710	1		88.3744420663898	17778.46153846154	17995.0	410.0	36490.0	36080.0
PA14_59520	31		21.1699535029741	3627.4242424242425	75.0	10.0	21520.0	21510.0	PA14_59520-PA14_59530
PA14_10110	3		21.788329804141846	12484.678362573099	15480.0	10.0	35920.0	35910.0
PA14_28520	9		69.6722248237226	19587.555555555555	18530.0	30.0	36470.0	36440.0
PA14_53680	11		7.88834001385791	19164.444444444445	18785.0	10.0	36400.0	36390.0
PA14_59350	37	pilV2	99.6689690921557	16886.833333333332	18455.0	40.0	36710.0	36670.0	pilL2-pilN2-pilO2-pilP2-pilQ2-pilR2-pilS2-pilT2-pilV2-pilM2
PA14_59130	4		84.04530225952085	3354.4761904761904	685.0	10.0	25070.0	25060.0	PA14_59130-PA14_59140-PA14_59150
PA14_59410	31		34.1605464910672	3627.4242424242425	75.0	10.0	21520.0	21510.0
PA14_36000	19	prpR	166.921226700128	19104.552631578947	20205.0	10.0	36640.0	36630.0
PA14_62030	14		171.5886553459555	17863.267973856207	17170.0	10.0	36690.0	36680.0	PA14_62040-PA14_62030-PA14_62020
PA14_51540	35		160.6178740828685	18517.904761904763	21730.0	20.0	36560.0	36540.0
PA14_39925	19	phzD2	2.414958777939	19104.552631578947	20205.0	10.0	36640.0	36630.0	phzB2-phzC2-phzD2-phzE2-phzF2-phzG2
PA14_59530	31		32.3383383311848	3627.4242424242425	75.0	10.0	21520.0	21510.0	PA14_59520-PA14_59530
PA14_60080	15		1188.98711734251	14138.291666666666	11992.5	10.0	35395.0	35385.0	PA14_60070-PA14_60080
PA14_58720	2		464.801148335047	17373.736263736264	16080.0	10.0	36240.0	36230.0
PA14_03265	6		237.30842484907402	14651.538461538461	13270.0	5.0	30960.0	30955.0	PA14_03250-PA14_03265
PA14_46570	26		207.45710738502748	16528.03267973856	16543.0	3.0	36350.0	36347.0	PA14_46570-PA14_46580-PA14_46590-PA14_46600
PA14_28760	20		148.472742365589	16061.818181818182	19070.0	10.0	35520.0	35510.0
PA14_55070	18		73.94085052035675	17024.380952380954	17750.0	10.0	35830.0	35820.0	PA14_55070-PA14_55060
PA14_15380	12	repA	32.957474502743594	11923.272727272728	6500.0	10.0	36680.0	36670.0	repA-PA14_15400
PA14_05910	33		56.65954447413951	16742.679738562092	13650.0	10.0	36510.0	36500.0
PA14_31110	3		11.723373482407752	12484.678362573099	15480.0	10.0	35920.0	35910.0	PA14_31130-PA14_31110
PA14_59580	14		531.0929963358426	17863.267973856207	17170.0	10.0	36690.0	36680.0	PA14_59560-PA14_59570-PA14_59580
PA14_23440	2	orfL	2258.9403167227547	17373.736263736264	16080.0	10.0	36240.0	36230.0	orfL-orfM
PA14_27660	23		6.632990483665685	484.55555555555554	45.0	5.0	1350.0	1345.0	PA14_27660-PA14_27650
PA14_30690	28		193.543104508303	17067.88888888889	15215.0	1505.0	35795.0	34290.0
PA14_39480	15		1130.45728318293	14138.291666666666	11992.5	10.0	35395.0	35385.0
PA14_31070	3		14.24675237684645	12484.678362573099	15480.0	10.0	35920.0	35910.0	PA14_31100-PA14_31090-PA14_31080-PA14_31070-PA14_31060-PA14_31050
PA14_44230	25		10.7117410460017	19249.416666666668	19210.0	10.0	35540.0	35530.0
PA14_59020	4		20.4282590056169	3354.4761904761904	685.0	10.0	25070.0	25060.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_58950	16		25.3279977878701	6107.3538461538465	620.0	10.0	32180.0	32170.0	PA14_58910-PA14_58920-PA14_58930-PA14_58940-PA14_58950-PA14_58960-PA14_58970-PA14_58980-PA14_58990
PA14_13220	30		28.31568122434725	17996.339869281044	17600.0	10.0	36590.0	36580.0
PA14_31030	5		138.046064818139	7290.0	10400.0	10.0	15600.0	15590.0	PA14_31040-PA14_31030-PA14_31010-PA14_31000-PA14_30990-PA14_30980
PA14_35740	18		482.34031979978596	17024.380952380954	17750.0	10.0	35830.0	35820.0	PA14_35740-PA14_35750
PA14_28800	18		459.6090567667035	17024.380952380954	17750.0	10.0	35830.0	35820.0
PA14_03270	6		948.6901868098571	14651.538461538461	13270.0	5.0	30960.0	30955.0	PA14_03270-PA14_03285
PA14_59840	30		1289.7850751095498	17996.339869281044	17600.0	10.0	36590.0	36580.0
PA14_71760	30		56.2091147291722	17996.339869281044	17600.0	10.0	36590.0	36580.0
PA14_59650	16		20.3299426704384	6107.3538461538465	620.0	10.0	32180.0	32170.0	PA14_59640-PA14_59650-PA14_59660-PA14_59670-PA14_59680-PA14_59690-PA14_59700
PA14_60090	7		318.937317723973	18264.117647058825	20125.0	10.0	36440.0	36430.0
PA14_59600	7		46.1371197706931	18264.117647058825	20125.0	10.0	36440.0	36430.0
PA14_31160	35		41.0526185078607	18517.904761904763	21730.0	20.0	36560.0	36540.0	PA14_31160-PA14_31170
PA14_69370	21	algP	3106.8050620415897	17949.090909090908	19275.0	10.0	36070.0	36060.0
PA14_50000	0		88.9624378428706	18229.39393939394	18065.0	10.0	36140.0	36130.0
PA14_14420	22		33.76176144090905	18073.777777777777	17550.0	10.0	36450.0	36440.0
PA14_35900	32		42.9983810845099	15747.166666666666	15720.0	10.0	36630.0	36620.0
PA14_60120	14	dcd2	856.246279667307	17863.267973856207	17170.0	10.0	36690.0	36680.0	dcd2-PA14_60110-dtd
PA14_35890	33		76.01203379047445	16742.679738562092	13650.0	10.0	36510.0	36500.0
PA14_14310	26		101.583451215518	16528.03267973856	16543.0	3.0	36350.0	36347.0	PA14_14310-PA14_14300
PA14_36790	30		10.97174617688065	17996.339869281044	17600.0	10.0	36590.0	36580.0	PA14_36790-PA14_36780-PA14_36770-PA14_36760
PA14_38920	10		6.444921134914451	15421.52380952381	14930.0	10.0	35240.0	35230.0	PA14_38920-PA14_38910-PA14_38900
PA14_54850	26		84.2307586556046	16528.03267973856	16543.0	3.0	36350.0	36347.0
PA14_15600	6		825.6149755098654	14651.538461538461	13270.0	5.0	30960.0	30955.0	PA14_15590-PA14_15600
PA14_59370	36		256.56635343922403	19002.222222222223	17830.0	200.0	32650.0	32450.0
PA14_10300	17		20.242831916399147	18373.333333333332	17970.0	10.0	35990.0	35980.0
PA14_55090	15		177.9741865948145	14138.291666666666	11992.5	10.0	35395.0	35385.0	PA14_55080-PA14_55090
