	corr to exoU	gene name	label
PA14_55610	-0.08247500365249726	dnaE2	core
PA14_55600	-0.11060016885133762		core
PA14_55590	-0.07762562877700131		core
PA14_55580	0.08438132213144395	nemO	core
PA14_55570	0.018213678293956183		core
PA14_55560	-0.03662739690011413		core
PA14_55550	-0.04868495831811544		core
PA14_55540	-0.04870026030797895		core
PA14_55530	-0.06741240229409914	hxcW	core
PA14_55520	-0.08470415185726733	hxcU	core
PA14_55510	-0.07922442314103656	hxcP	core
PA14_55500	-0.04823627167340469	hxcV	core
PA14_55490	-0.0534765788536012	hxcT	core
PA14_55480	-0.07533565386056684	hxcX	core
PA14_55470	-0.0875109795884051	hxcY	core
PA14_55460	-0.07330040286027291	hxcZ	core
PA14_55450	-0.07822226356516067	hxcQ	core
PA14_55440	-0.06994536436399941	hxcR	core
PA14_55430	-0.09726646777432392	hxcS	core
PA14_55410	-0.03339601428590799	lapC	core
PA14_55400	-0.08158155433239013		core
PA14_55390	-0.03088819320721333		core
PA14_55380	-0.048801090330862905		core
PA14_55360	-0.06992039906429373	exbB2	core
PA14_55340	-0.06297471143041934	exbD2	core
PA14_55330	-0.06727585588983549		core
PA14_55320	-0.040718933383575434		core
PA14_55300	-0.05118547736964561		core
PA14_55290	-0.05715185388546521		core
PA14_55280	-0.07373554722938318		core
PA14_55260	-0.07335185670520553		core
PA14_55250	-0.08655579317570475		core
PA14_55240	-0.06536519803137128		acc
PA14_55230	-0.03733569495342429		core
PA14_55220	-0.12018358153916645		core
PA14_55200	-0.051328590832424914		core
PA14_55180	-0.005379829403479743		core
PA14_55170	-0.02135582277559877	cat	core
PA14_55160	0.007506171673846541	toxR	core
PA14_55150	-0.06881512820762338		core
PA14_55140	-0.026902082834653764		core
PA14_55130	-0.028747860700391287	gloA2	core
PA14_55110	0.06845351781450845		core
PA14_55100	0.11472093072621235		core
PA14_55090	0.07898683276095514		acc
PA14_55080	0.023398390696222675		acc
PA14_55070	-0.017671137616365087		acc
PA14_55060	0.005518250668866697		acc
PA14_55050	0.16425409658091406		acc
PA14_55040	0.10909086057100538		acc
PA14_55030	0.14905829289795186		acc
PA14_55020	0.12982651404326184		acc
PA14_55000	0.15239023569662305		acc
PA14_54980	0.043734021440585434	ybtQ	acc
PA14_54970	0.13100347781022828		acc
PA14_54960	0.00488762561316814		acc
PA14_54950	-0.01973893032031809		acc
PA14_54940	0.17846148708027246		acc
PA14_54930	0.08977628842180799		acc
PA14_54920	0.19550207510090115		acc
PA14_54910	0.07404435474056588		acc
PA14_54900	-0.016639240247559754		acc
PA14_54890	0.04920281141029565		acc
PA14_54880	0.05807375142914638		acc
PA14_54870	0.07433320481887422		acc
PA14_54860	0.03345209244471265		acc
PA14_54850	-0.07480889589269712		acc
PA14_54830	-0.036261123026936085		core
PA14_54820	-0.026909060401346902		core
PA14_54810	0.06083951497118097		core
PA14_54800	-0.11008854626177944		core
PA14_54790	-0.04831042399952299		core
PA14_54770	0.029581147848862045		core
PA14_54760	0.18634910078730954		core
PA14_54750	-0.0447189869538855		acc
PA14_54740	-0.037439483787188005		core
PA14_54730	-0.04162339044886003		core
PA14_54720	-0.02719324421734657		acc
PA14_54710	-0.04365437051386952		core
PA14_54700	-0.0648564903123927		core
PA14_54690	0.05941870378758553		core
PA14_54680	0.0239366444039047		core
PA14_54670	0.008623945357365274		core
PA14_54660	0.028433239625758392		core
PA14_54640	0.032237815880996716		core
PA14_54630	0.047058621028660166		core
PA14_54620	0.07487345113849941		core
PA14_54610	-0.07847570536941291		acc
PA14_54600	0.0006288017047221928		core
PA14_54590	0.016353596710216654	ung	core
PA14_54580	0.18023595093511746		core
PA14_54570	0.11151621699029876		core
PA14_54550	0.0996916678629768		core
PA14_54540	0.08786403782340572		core
PA14_54520	0.06445751030014878		core
PA14_54510	-0.11585223967443045		core
PA14_54500	-0.1079512171870126		core
PA14_54490	-0.00968366170300858		core
PA14_54480	0.03818177644965101		core
PA14_54470	-0.050719824756815864		core
PA14_54460	-0.007648323371758512		acc
PA14_54450	0.09380735518860672	nadB	core
PA14_54430	-0.045345352793591184	algU	core
PA14_54420	-0.043051286392778235	mucA	core
PA14_54410	-0.07070739932503346	mucB	core
PA14_54400	-0.07560387780022093	mucC	core
PA14_54390	-0.029478818195487345	mucD	core
PA14_54370	-0.09089556019315817	lepA	core
PA14_54350	-0.05268361312390158	lepB	core
PA14_54340	-0.023810789547919018		core
PA14_54330	-0.12956506758510306	rnc	core
PA14_54320	-0.08142219902662913	era	core
PA14_54300	-0.1434415586577552	recO	core
PA14_54290	-0.0990750225976437	pdxJ	core
PA14_54270	-0.07620849226733903		core
PA14_54260	-0.06393950934797016		core
PA14_54240	0.014321437674937718		core
PA14_54230	-0.08069734732778097		core
PA14_54220	-0.01857714465540387	icp	core
PA14_54210	-0.0765608687998654		core
PA14_54190	-0.0235846345853668	pruR	core
PA14_54180	0.3655097731033348		core
PA14_54170	-0.10284751913019552	putA	core
PA14_54150	-0.02763042717266637	putP	core
PA14_54130	-0.0197687884155113		core
PA14_54120	-0.11804190196223145		core
PA14_54110	-0.09052565335775137		core
PA14_54090	-0.07934798892510855		core
PA14_54080	0.02756533687255692		core
PA14_54070	0.0902697187280318		acc
PA14_54050	-0.11274413681146794		acc
PA14_54040	0.00650164682840566		core
PA14_54030	-0.018791240647873287		core
PA14_54010	0.03027950615402225		core
PA14_54000	0.11647764785776435	prpD	core
PA14_53980	0.12095208839965192		core
PA14_53970	0.16528749074495466		core
PA14_53950	0.3194268787205487	prpC	core
PA14_53940	0.11889505567747695	prpB	core
PA14_53920	0.1704932476545676		core
PA14_53910	-0.01721140829713429	pmtA	core
PA14_53900	-0.1347210055696536		core
PA14_53890	-0.12243865464970068		core
PA14_53880	-0.08847676908063078		core
PA14_53870	-0.006090698324133114		core
PA14_53860	-0.0102096309503601		core
PA14_53850	0.03438429227475657		core
PA14_53840	-0.07553541925823902		core
PA14_53830	-0.08935306018382805		core
PA14_53820	-0.05123988060986722		core
