	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	operon_name
PA14_14560	59		27.3344239956866	18310.29160739687	18730.0	10.0	36630.0	36620.0
PA14_50750	59		50.85266756736591	18310.29160739687	18730.0	10.0	36630.0	36620.0
PA14_22080	43		338.45173876467595	66.54545454545455	50.0	10.0	190.0	180.0
PA14_38920	28		4.308403518543235	13005.333333333334	10040.0	10.0	27780.0	27770.0	PA14_38920-PA14_38910-PA14_38900
PA14_31040	0		150.0060922086555	996.0	25.0	10.0	2480.0	2470.0	PA14_31040-PA14_31030-PA14_31010-PA14_31000-PA14_30990-PA14_30980
PA14_26200	59		5.9805685638927795	18310.29160739687	18730.0	10.0	36630.0	36620.0
PA14_58900	22		235.469737135502	8649.52380952381	7380.0	30.0	26250.0	26220.0	PA14_58890-PA14_58900
PA14_27650	11		14.569929809523	2744.4444444444443	37.5	5.0	12280.0	12275.0	PA14_27660-PA14_27650
PA14_05910	47		59.120569041942346	20346.0	22350.0	70.0	33790.0	33720.0
PA14_39480	6		1251.3965565379249	12833.333333333334	19240.0	10.0	19250.0	19240.0
PA14_59990	1		17.67540065116365	186.07142857142858	185.0	10.0	460.0	450.0	PA14_59980-PA14_59990-PA14_60000-PA14_60010-PA14_60020
PA14_31260	59		1.57301443482022	18310.29160739687	18730.0	10.0	36630.0	36620.0
PA14_15380	10	repA	33.240453804913045	84.0	100.0	10.0	180.0	170.0	repA-PA14_15400
PA14_59790	65	pvrR	800.3588724695549	23.333333333333332	20.0	10.0	50.0	40.0	PA14_59800-pvrR-rcsC-rcsB
PA14_55070	48		83.49464875609735	1519.047619047619	540.0	10.0	4910.0	4900.0	PA14_55070-PA14_55060
PA14_48510	46		12.353203602697352	18984.64285714286	18360.0	3250.0	35310.0	32060.0	PA14_48510-PA14_48520
PA14_13960	61		12.001150869014651	19248.571428571428	28640.0	10.0	36270.0	36260.0	PA14_13970-PA14_13960
PA14_31280	34		81.36154576258485	167.61904761904762	250.0	10.0	310.0	300.0	PA14_31280-PA14_31270
PA14_59630	2		233.1998601634445	288.6666666666667	400.0	10.0	840.0	830.0	PA14_59630-PA14_59620
PA14_31150	59		115.22445810139	18310.29160739687	18730.0	10.0	36630.0	36620.0
PA14_59920	1		62.0336049600958	186.07142857142858	185.0	10.0	460.0	450.0	PA14_59860-PA14_59870-PA14_59880-PA14_59890-PA14_59900-PA14_59910-PA14_59920-PA14_59930-PA14_59940-PA14_59950-PA14_59960
PA14_23380	19	orfH	3961.2710396757993	26.666666666666668	20.0	10.0	60.0	50.0
PA14_22530	5		37.020942201975004	9112.777777777777	8155.0	10.0	33410.0	33400.0	PA14_22530-PA14_22520
PA14_21560	14		90.15420341412755	20748.214285714286	25895.0	410.0	36500.0	36090.0	PA14_21540-PA14_21550-PA14_21560
PA14_52120	4		58.52929983657225	10060.0	15060.0	30.0	15090.0	15060.0
PA14_58950	27		23.360570416183847	6997.142857142857	65.0	10.0	27920.0	27910.0	PA14_58910-PA14_58920-PA14_58930-PA14_58940-PA14_58950-PA14_58960-PA14_58970-PA14_58980-PA14_58990
PA14_59120	21		28.53687587731725	128.0	85.0	10.0	290.0	280.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_46510	26		502.46453121043294	12506.285714285714	17180.0	10.0	30073.0	30063.0	PA14_46520-PA14_46510
PA14_61110	14		44.023316516637095	20748.214285714286	25895.0	410.0	36500.0	36090.0	PA14_61150-PA14_61140-PA14_61130-PA14_61120-PA14_61110
PA14_53680	49		5.94768025271267	21542.0	29930.0	10.0	34980.0	34970.0
PA14_59610	2		355.522925931989	288.6666666666667	400.0	10.0	840.0	830.0
PA14_59890	1		14.970708162587702	186.07142857142858	185.0	10.0	460.0	450.0	PA14_59860-PA14_59870-PA14_59880-PA14_59890-PA14_59900-PA14_59910-PA14_59920-PA14_59930-PA14_59940-PA14_59950-PA14_59960
PA14_43080	59	vgrG14	28.23247677805735	18310.29160739687	18730.0	10.0	36630.0	36620.0	PA14_43080-PA14_43090-PA14_43100
PA14_71760	3		62.84738867131825	20782.666666666668	21760.0	1950.0	33590.0	31640.0
PA14_07480	67		1924.2317748517798	13026.666666666666	13025.0	10.0	26050.0	26040.0
PA14_67210	4		259.025736266728	10060.0	15060.0	30.0	15090.0	15060.0	PA14_67230-PA14_67220-PA14_67210-PA14_67200-PA14_67190-PA14_67180
PA14_22520	5		51.10142082138095	9112.777777777777	8155.0	10.0	33410.0	33400.0	PA14_22530-PA14_22520
PA14_67960	17		35.5637776325802	19938.0	20705.0	5630.0	33690.0	28060.0	PA14_67940-PA14_67960-PA14_67970
PA14_35730	16		49.46882617030955	7349.523809523809	40.0	10.0	25680.0	25670.0
PA14_10830	39		155.70163483443702	14673.333333333334	12320.0	9690.0	22010.0	12320.0
PA14_62040	72		328.124982582237	15773.333333333334	16090.0	10.0	33280.0	33270.0	PA14_62040-PA14_62030-PA14_62020
PA14_59360	71	pilM2	21.049694306517946	146.11111111111111	115.0	10.0	450.0	440.0	pilL2-pilN2-pilO2-pilP2-pilQ2-pilR2-pilS2-pilT2-pilV2-pilM2
PA14_53580	69		238.230327999861	6941.071428571428	4125.0	10.0	23060.0	23050.0
PA14_54720	73		9.911255464481194	17038.0	14375.0	10.0	34810.0	34800.0	PA14_54730-PA14_54720
PA14_44230	9		9.66845502440594	19088.928571428572	20235.0	980.0	34180.0	33200.0
PA14_39470	6		651.5675998102611	12833.333333333334	19240.0	10.0	19250.0	19240.0
