	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	operon_name
PA14_13880	13		5.2528851735666695	21014.375	18915.0	10.0	61000.0	60990.0	PA14_13890-PA14_13880-PA14_13870
PA14_36400	36		8.97202982207462	14603.333333333334	12995.0	10.0	39890.0	39880.0
PA14_30960	7		34.6008234508987	2085.75	170.0	10.0	15750.0	15740.0	PA14_30960-PA14_30950-PA14_30940-PA14_30930
PA14_53680	13		7.88834001385791	21014.375	18915.0	10.0	61000.0	60990.0
PA14_01770	1		106.3250135169505	25147.2	21450.0	70.0	70860.0	70790.0	PA14_01780-PA14_01770
PA14_28830	21		1316.14967663198	17390.733333333334	17730.0	10.0	51917.0	51907.0	PA14_28820-PA14_28830-PA14_28840
PA14_00520	16		25.3488711737105	26922.012012012012	23935.0	10.0	68830.0	68820.0
PA14_58960	11		25.360716822238352	427.7922077922078	370.0	10.0	1090.0	1080.0	PA14_58910-PA14_58920-PA14_58930-PA14_58940-PA14_58950-PA14_58960-PA14_58970-PA14_58980-PA14_58990
PA14_51200	1		42.651385599610805	25147.2	21450.0	70.0	70860.0	70790.0	PA14_51200-PA14_51190
PA14_31930	6		13.78586028031075	19600.46783625731	17670.0	30.0	54330.0	54300.0	PA14_31870-PA14_31890-PA14_31900-PA14_31920-PA14_31930
PA14_50000	16		88.9624378428706	26922.012012012012	23935.0	10.0	68830.0	68820.0
PA14_59410	37		34.1605464910672	1143.6190476190477	80.0	10.0	8230.0	8220.0
PA14_46520	2		388.8123567252785	26354.285714285714	25950.0	10.0	53650.0	53640.0	PA14_46520-PA14_46510
PA14_30980	3		194.947630174736	5126.222222222223	270.0	10.0	25160.0	25150.0	PA14_31040-PA14_31030-PA14_31010-PA14_31000-PA14_30990-PA14_30980
PA14_31080	35		4.44019269286172	10939.545454545454	10040.0	10.0	36430.0	36420.0	PA14_31100-PA14_31090-PA14_31080-PA14_31070-PA14_31060-PA14_31050
PA14_30940	7		11.93386742157785	2085.75	170.0	10.0	15750.0	15740.0	PA14_30960-PA14_30950-PA14_30940-PA14_30930
PA14_71400	13		10.56135786220075	21014.375	18915.0	10.0	61000.0	60990.0	PA14_71410-PA14_71400
PA14_28580	16		41.616846765819446	26922.012012012012	23935.0	10.0	68830.0	68820.0	PA14_28580-PA14_28590
PA14_30880	7		15.345832328377451	2085.75	170.0	10.0	15750.0	15740.0	PA14_30880-PA14_30870-PA14_30860-PA14_30850
PA14_46600	7		35.47360975097975	2085.75	170.0	10.0	15750.0	15740.0	PA14_46570-PA14_46580-PA14_46590-PA14_46600
PA14_27650	4		17.16820711122475	30.178571428571427	27.5	5.0	70.0	65.0	PA14_27660-PA14_27650
PA14_22880	16		32.75030739464175	26922.012012012012	23935.0	10.0	68830.0	68820.0
PA14_14400	13		4.570528350838931	21014.375	18915.0	10.0	61000.0	60990.0
PA14_04710	16		88.3744420663898	26922.012012012012	23935.0	10.0	68830.0	68820.0
PA14_52120	20		56.417078266648744	16997.875	13987.5	10.0	54550.0	54540.0
PA14_59980	32		10.6492516987648	487.57575757575756	655.0	10.0	1030.0	1020.0	PA14_59980-PA14_59990-PA14_60000-PA14_60010-PA14_60020
PA14_30930	7		5.265358122566239	2085.75	170.0	10.0	15750.0	15740.0	PA14_30960-PA14_30950-PA14_30940-PA14_30930
PA14_54900	18		118.906544512311	18430.0395256917	120.0	5.0	51840.0	51835.0
PA14_60140	5		167.1017245777745	396.0833333333333	445.0	10.0	1020.0	1010.0	PA14_60130-PA14_60140
PA14_54860	18		74.35209767794625	18430.0395256917	120.0	5.0	51840.0	51835.0
PA14_58910	22		53.26432660059225	486.53846153846155	460.0	5.0	1220.0	1215.0	PA14_58910-PA14_58920-PA14_58930-PA14_58940-PA14_58950-PA14_58960-PA14_58970-PA14_58980-PA14_58990
PA14_39910	13	phzE2	1.713126995946155	21014.375	18915.0	10.0	61000.0	60990.0	phzB2-phzC2-phzD2-phzE2-phzF2-phzG2
PA14_15520	10	trbJ	55.8175279602403	99.25	80.0	10.0	260.0	250.0	trbJ-PA14_15530-PA14_15540
PA14_60060	5		43.356585694125705	396.0833333333333	445.0	10.0	1020.0	1010.0
PA14_38920	36		6.444921134914451	14603.333333333334	12995.0	10.0	39890.0	39880.0	PA14_38920-PA14_38910-PA14_38900
PA14_60000	12		81.66618266977035	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_59980-PA14_59990-PA14_60000-PA14_60010-PA14_60020
PA14_31090	7		8.47295718988303	2085.75	170.0	10.0	15750.0	15740.0	PA14_31100-PA14_31090-PA14_31080-PA14_31070-PA14_31060-PA14_31050
PA14_59590	5		220.39986613718747	396.0833333333333	445.0	10.0	1020.0	1010.0
PA14_10080	23		13.551597959369401	9667.857142857143	65.0	10.0	25680.0	25670.0	PA14_10080-PA14_10070-PA14_10050
PA14_59820	22		39.09496204519316	486.53846153846155	460.0	5.0	1220.0	1215.0	PA14_59820-PA14_59830
PA14_59840	22		1289.7850751095498	486.53846153846155	460.0	5.0	1220.0	1215.0
PA14_31340	1		11.137256128331448	25147.2	21450.0	70.0	70860.0	70790.0
PA14_36020	30		124.64644765855701	1985.357142857143	130.0	10.0	7770.0	7760.0	PA14_36030-PA14_36020-PA14_36010
PA14_51950	17		116.005442826201	16672.402597402597	16010.0	10.0	52555.0	52545.0
PA14_31050	25		693.6549060116536	40.0	25.0	10.0	90.0	80.0	PA14_31100-PA14_31090-PA14_31080-PA14_31070-PA14_31060-PA14_31050
PA14_59120	5		27.606520363432047	396.0833333333333	445.0	10.0	1020.0	1010.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_58940	35		4.972711210090975	10939.545454545454	10040.0	10.0	36430.0	36420.0	PA14_58910-PA14_58920-PA14_58930-PA14_58940-PA14_58950-PA14_58960-PA14_58970-PA14_58980-PA14_58990
PA14_13960	6		13.7065771234544	19600.46783625731	17670.0	30.0	54330.0	54300.0	PA14_13970-PA14_13960
PA14_03340	27		160.6905925701895	20392.197802197803	12310.0	10.0	53940.0	53930.0	PA14_03340-PA14_03330-PA14_03320
PA14_13920	15		11.092960588976648	27600.809523809523	24515.0	150.0	72420.0	72270.0
PA14_03270	18		948.6901868098571	18430.0395256917	120.0	5.0	51840.0	51835.0	PA14_03270-PA14_03285
PA14_30990	3		128.058223011095	5126.222222222223	270.0	10.0	25160.0	25150.0	PA14_31040-PA14_31030-PA14_31010-PA14_31000-PA14_30990-PA14_30980
PA14_35710	31		237.6564308494915	17898.848484848484	15185.0	10.0	55574.0	55564.0	PA14_35720-PA14_35710
PA14_35760	19		523.2004384949621	11189.333333333334	50.0	10.0	31470.0	31460.0
PA14_05910	16		56.65954447413951	26922.012012012012	23935.0	10.0	68830.0	68820.0
PA14_40470	20		193.49718167728048	16997.875	13987.5	10.0	54550.0	54540.0
PA14_35890	30		76.01203379047445	1985.357142857143	130.0	10.0	7770.0	7760.0
PA14_59360	22	pilM2	21.0561069796994	486.53846153846155	460.0	5.0	1220.0	1215.0	pilL2-pilN2-pilO2-pilP2-pilQ2-pilR2-pilS2-pilT2-pilV2-pilM2
PA14_28810	21		3090.8288010437354	17390.733333333334	17730.0	10.0	51917.0	51907.0
PA14_35730	23		48.31695413396589	9667.857142857143	65.0	10.0	25680.0	25670.0
PA14_23430	28		3598.288882112115	16129.70588235294	15605.0	10.0	38240.0	38230.0	PA14_23420-PA14_23430
PA14_55030	18		26.1187238149564	18430.0395256917	120.0	5.0	51840.0	51835.0	PA14_55000-PA14_55020-PA14_55030-PA14_55040
PA14_28540	13		9.780664414361055	21014.375	18915.0	10.0	61000.0	60990.0
PA14_14320	17		18.122344372353652	16672.402597402597	16010.0	10.0	52555.0	52545.0
PA14_59690	12		79.76774642880754	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_59640-PA14_59650-PA14_59660-PA14_59670-PA14_59680-PA14_59690-PA14_59700
PA14_46610	29		47.87843049038379	3764.6666666666665	1860.0	10.0	15680.0	15670.0
PA14_53580	21		223.675346873096	17390.733333333334	17730.0	10.0	51917.0	51907.0
PA14_15500	10		48.489118998988346	99.25	80.0	10.0	260.0	250.0	PA14_15490-PA14_15500
PA14_22540	20		30.702444439401	16997.875	13987.5	10.0	54550.0	54540.0
PA14_69350	16		206.8421871106105	26922.012012012012	23935.0	10.0	68830.0	68820.0
PA14_72830	15		33.1671231506668	27600.809523809523	24515.0	150.0	72420.0	72270.0	PA14_72820-PA14_72830
PA14_32850	8		79.79333067408089	152.38095238095238	30.0	10.0	500.0	490.0
PA14_06900	15		17.3042932415324	27600.809523809523	24515.0	150.0	72420.0	72270.0	PA14_06890-PA14_06900-PA14_06920-PA14_06930
PA14_60110	5		838.2743028052915	396.0833333333333	445.0	10.0	1020.0	1010.0	dcd2-PA14_60110-dtd
PA14_59600	38		46.1371197706931	275.45454545454544	165.0	10.0	970.0	960.0
PA14_54460	6		106.8639186386265	19600.46783625731	17670.0	30.0	54330.0	54300.0	PA14_54470-PA14_54460
PA14_20600	20		213.598181552722	16997.875	13987.5	10.0	54550.0	54540.0
PA14_15540	10		125.04568476379401	99.25	80.0	10.0	260.0	250.0	trbJ-PA14_15530-PA14_15540
PA14_59970	5		318.67683463632	396.0833333333333	445.0	10.0	1020.0	1010.0
PA14_30870	7		11.4790091261253	2085.75	170.0	10.0	15750.0	15740.0	PA14_30880-PA14_30870-PA14_30860-PA14_30850
PA14_35970	26		16.000889291632646	38.0	30.0	10.0	80.0	70.0	PA14_35990-PA14_35980-PA14_35970-PA14_35950
PA14_54750	6		27.605343443135048	19600.46783625731	17670.0	30.0	54330.0	54300.0
PA14_30910	7		31.567486576959	2085.75	170.0	10.0	15750.0	15740.0	PA14_30910-PA14_30900
PA14_22260	33		9.333124817651186	8740.190476190477	115.0	10.0	45630.0	45620.0	PA14_22260-PA14_22250
PA14_58990	12		54.40909288963775	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_58910-PA14_58920-PA14_58930-PA14_58940-PA14_58950-PA14_58960-PA14_58970-PA14_58980-PA14_58990
PA14_15450	14	merD	30.6954710035372	37.67857142857143	25.0	5.0	110.0	105.0	merA-merD-merE-PA14_15435
PA14_22250	33		24.218599678233844	8740.190476190477	115.0	10.0	45630.0	45620.0	PA14_22260-PA14_22250
PA14_31070	7		14.24675237684645	2085.75	170.0	10.0	15750.0	15740.0	PA14_31100-PA14_31090-PA14_31080-PA14_31070-PA14_31060-PA14_31050
PA14_22520	20		50.8417353944147	16997.875	13987.5	10.0	54550.0	54540.0	PA14_22530-PA14_22520
PA14_59060	12		24.051633446584244	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_26200	1		8.074511291413245	25147.2	21450.0	70.0	70860.0	70790.0
PA14_31280	3		80.79151773903745	5126.222222222223	270.0	10.0	25160.0	25150.0	PA14_31280-PA14_31270
PA14_28520	6		69.6722248237226	19600.46783625731	17670.0	30.0	54330.0	54300.0
PA14_03310	27		160.889300430793	20392.197802197803	12310.0	10.0	53940.0	53930.0
PA14_41300	6		37.37718325759085	19600.46783625731	17670.0	30.0	54330.0	54300.0
PA14_33320	8		358.306480363879	152.38095238095238	30.0	10.0	500.0	490.0	PA14_33330-PA14_33320-PA14_33310-PA14_33300
PA14_59070	12		179.381029307639	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_03380	18		693.4096623030075	18430.0395256917	120.0	5.0	51840.0	51835.0
PA14_59860	32		9.022371182315016	487.57575757575756	655.0	10.0	1030.0	1020.0	PA14_59860-PA14_59870-PA14_59880-PA14_59890-PA14_59900-PA14_59910-PA14_59920-PA14_59930-PA14_59940-PA14_59950-PA14_59960
PA14_18070	16		34.03021928645625	26922.012012012012	23935.0	10.0	68830.0	68820.0
PA14_35840	9		795.3341657256085	13.333333333333334	10.0	10.0	20.0	10.0	tnpT-PA14_35840-PA14_35850
PA14_10090	23		67.320551742233	9667.857142857143	65.0	10.0	25680.0	25670.0
PA14_36480	15		18.67315978390465	27600.809523809523	24515.0	150.0	72420.0	72270.0
PA14_15580	10		2312.16988248199	99.25	80.0	10.0	260.0	250.0
PA14_59310	11	pilR2	33.62036772563745	427.7922077922078	370.0	10.0	1090.0	1080.0	pilL2-pilN2-pilO2-pilP2-pilQ2-pilR2-pilS2-pilT2-pilV2-pilM2
PA14_32820	31		142.75497208284952	17898.848484848484	15185.0	10.0	55574.0	55564.0
PA14_35720	31		313.354057646662	17898.848484848484	15185.0	10.0	55574.0	55564.0	PA14_35720-PA14_35710
PA14_15610	10		1363.36335395151	99.25	80.0	10.0	260.0	250.0
PA14_59390	5		265.185845855452	396.0833333333333	445.0	10.0	1020.0	1010.0
PA14_28840	21		2525.6033941082605	17390.733333333334	17730.0	10.0	51917.0	51907.0	PA14_28820-PA14_28830-PA14_28840
PA14_22080	33		334.232051122423	8740.190476190477	115.0	10.0	45630.0	45620.0
PA14_58720	31		464.801148335047	17898.848484848484	15185.0	10.0	55574.0	55564.0
PA14_35770	19		635.7202606566862	11189.333333333334	50.0	10.0	31470.0	31460.0
PA14_59140	12		49.755774815924354	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_59130-PA14_59140-PA14_59150
PA14_59250	11	pilN2	41.330500031854555	427.7922077922078	370.0	10.0	1090.0	1080.0	pilL2-pilN2-pilO2-pilP2-pilQ2-pilR2-pilS2-pilT2-pilV2-pilM2
PA14_54930	18		193.2077009914105	18430.0395256917	120.0	5.0	51840.0	51835.0
PA14_59750	38	cupD4	31.426955647547693	275.45454545454544	165.0	10.0	970.0	960.0	cupD4-cupD5
PA14_59760	38	cupD5	35.6758787642093	275.45454545454544	165.0	10.0	970.0	960.0	cupD4-cupD5
PA14_33980	17		38.5923238871313	16672.402597402597	16010.0	10.0	52555.0	52545.0	PA14_34070-PA14_34050-PA14_34030-PA14_34020-PA14_34010-PA14_34000-PA14_33990-PA14_33980-PA14_33970-PA14_33960-PA14_33940
PA14_59940	12		187.491075961572	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_59860-PA14_59870-PA14_59880-PA14_59890-PA14_59900-PA14_59910-PA14_59920-PA14_59930-PA14_59940-PA14_59950-PA14_59960
PA14_59010	32		9.113722034912886	487.57575757575756	655.0	10.0	1030.0	1020.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_33970	17		51.663943054776496	16672.402597402597	16010.0	10.0	52555.0	52545.0	PA14_34070-PA14_34050-PA14_34030-PA14_34020-PA14_34010-PA14_34000-PA14_33990-PA14_33980-PA14_33970-PA14_33960-PA14_33940
PA14_48470	29		14.40892354624785	3764.6666666666665	1860.0	10.0	15680.0	15670.0	PA14_48490-PA14_48470-PA14_48460-PA14_48450
PA14_35810	19		1184.26498235881	11189.333333333334	50.0	10.0	31470.0	31460.0	tnpS-PA14_35810-PA14_35800
PA14_59150	12		130.7177358579935	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_59130-PA14_59140-PA14_59150
PA14_20520	28		313.725198341529	16129.70588235294	15605.0	10.0	38240.0	38230.0	PA14_20510-PA14_20520-PA14_20530
PA14_59100	12		107.17004385766501	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_39480	31		1130.45728318293	17898.848484848484	15185.0	10.0	55574.0	55564.0
PA14_00970	1		77.714719505045	25147.2	21450.0	70.0	70860.0	70790.0	PA14_00980-PA14_00970-PA14_00960-PA14_00940-PA14_00925
PA14_27690	4		9.671740528489345	30.178571428571427	27.5	5.0	70.0	65.0	PA14_27700-PA14_27690
PA14_46580	29		23.1470773109649	3764.6666666666665	1860.0	10.0	15680.0	15670.0	PA14_46570-PA14_46580-PA14_46590-PA14_46600
PA14_59000	32		14.6915282921508	487.57575757575756	655.0	10.0	1030.0	1020.0	PA14_59000-PA14_59010-PA14_59020-PA14_59030-PA14_59050-PA14_59060-PA14_59070-PA14_59090-PA14_59100-PA14_59110-PA14_59120
PA14_28460	17		156.9932989141965	16672.402597402597	16010.0	10.0	52555.0	52545.0
PA14_33360	1		109.3736588766645	25147.2	21450.0	70.0	70860.0	70790.0
PA14_25410	15		53.43820895216011	27600.809523809523	24515.0	150.0	72420.0	72270.0	PA14_25420-PA14_25410-PA14_25400
PA14_51560	0		210.99359828134203	27627.636363636364	32120.0	10.0	58560.0	58550.0
PA14_59530	37		32.3383383311848	1143.6190476190477	80.0	10.0	8230.0	8220.0	PA14_59520-PA14_59530
PA14_35900	30		42.9983810845099	1985.357142857143	130.0	10.0	7770.0	7760.0
PA14_49510	28	pyoS3I	867.2265810472704	16129.70588235294	15605.0	10.0	38240.0	38230.0	pyoS3A-pyoS3I
PA14_39700	1		14.915867249560549	25147.2	21450.0	70.0	70860.0	70790.0	PA14_39690-PA14_39700-PA14_39710
PA14_46620	29		212.4285213289015	3764.6666666666665	1860.0	10.0	15680.0	15670.0
PA14_10410	13		4.326466743130905	21014.375	18915.0	10.0	61000.0	60990.0
PA14_59550	5		822.8230941164584	396.0833333333333	445.0	10.0	1020.0	1010.0
PA14_31230	7		12.88496724186685	2085.75	170.0	10.0	15750.0	15740.0	PA14_31230-PA14_31220
PA14_48230	13		2.87003292856059	21014.375	18915.0	10.0	61000.0	60990.0
PA14_00410	15		89.7505720875077	27600.809523809523	24515.0	150.0	72420.0	72270.0	PA14_00400-PA14_00410
PA14_15530	10		19.2299145702377	99.25	80.0	10.0	260.0	250.0	trbJ-PA14_15530-PA14_15540
PA14_35950	26		8.76983298745371	38.0	30.0	10.0	80.0	70.0	PA14_35990-PA14_35980-PA14_35970-PA14_35950
PA14_61410	16		79.98853507352615	26922.012012012012	23935.0	10.0	68830.0	68820.0
PA14_69370	15	algP	3106.8050620415897	27600.809523809523	24515.0	150.0	72420.0	72270.0
PA14_01130	27		79.5918248244877	20392.197802197803	12310.0	10.0	53940.0	53930.0	PA14_01140-PA14_01130-PA14_01120
PA14_49020	33		264.23074507415697	8740.190476190477	115.0	10.0	45630.0	45620.0
PA14_15435	14		100.3557018389145	37.67857142857143	25.0	5.0	110.0	105.0	merA-merD-merE-PA14_15435
PA14_15160	15		33.17288167819285	27600.809523809523	24515.0	150.0	72420.0	72270.0	PA14_15200-PA14_15190-PA14_15180-PA14_15160
PA14_20530	28		134.9345232201855	16129.70588235294	15605.0	10.0	38240.0	38230.0	PA14_20510-PA14_20520-PA14_20530
PA14_14420	17		33.76176144090905	16672.402597402597	16010.0	10.0	52555.0	52545.0
PA14_58920	11		28.17370478530385	427.7922077922078	370.0	10.0	1090.0	1080.0	PA14_58910-PA14_58920-PA14_58930-PA14_58940-PA14_58950-PA14_58960-PA14_58970-PA14_58980-PA14_58990
PA14_35860	30		73.3375583945821	1985.357142857143	130.0	10.0	7770.0	7760.0	PA14_35860-PA14_35880
PA14_59830	12		157.293886373544	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_59820-PA14_59830
PA14_59210	12		61.388830912176005	391.3235294117647	275.0	10.0	1010.0	1000.0	PA14_59200-PA14_59210
PA14_43080	24	vgrG14	31.0285725729049	17593.333333333332	15970.0	10.0	40790.0	40780.0	PA14_43080-PA14_43090-PA14_43100
PA14_03350	27		649.054102429662	20392.197802197803	12310.0	10.0	53940.0	53930.0	PA14_03360-PA14_03350
PA14_51640	36		29.3624026686171	14603.333333333334	12995.0	10.0	39890.0	39880.0	PA14_51640-PA14_51650
PA14_31130	35		8.58661347206045	10939.545454545454	10040.0	10.0	36430.0	36420.0	PA14_31130-PA14_31110
PA14_65870	16		47.926891148370146	26922.012012012012	23935.0	10.0	68830.0	68820.0	PA14_65880-PA14_65870-PA14_65860
PA14_48900	35		3.47645410504433	10939.545454545454	10040.0	10.0	36430.0	36420.0	PA14_48930-PA14_48920-PA14_48910-PA14_48900
PA14_31030	25		138.046064818139	40.0	25.0	10.0	90.0	80.0	PA14_31040-PA14_31030-PA14_31010-PA14_31000-PA14_30990-PA14_30980
PA14_44090	1		21.630130216549446	25147.2	21450.0	70.0	70860.0	70790.0
PA14_14560	1		25.595458372266155	25147.2	21450.0	70.0	70860.0	70790.0
PA14_64260	13		2.623868381603865	21014.375	18915.0	10.0	61000.0	60990.0	PA14_64260-PA14_64270
PA14_20060	6		28.6379495175777	19600.46783625731	17670.0	30.0	54330.0	54300.0
PA14_15460	14	merA	263.6440135949415	37.67857142857143	25.0	5.0	110.0	105.0	merA-merD-merE-PA14_15435
PA14_03330	27		118.59651807857449	20392.197802197803	12310.0	10.0	53940.0	53930.0	PA14_03340-PA14_03330-PA14_03320
PA14_11730	16		34.40487258784199	26922.012012012012	23935.0	10.0	68830.0	68820.0
PA14_53610	28		118.8890128018125	16129.70588235294	15605.0	10.0	38240.0	38230.0
PA14_54050	1		82.6179494273501	25147.2	21450.0	70.0	70860.0	70790.0	PA14_54070-PA14_54050
PA14_28470	20		38.0377249565962	16997.875	13987.5	10.0	54550.0	54540.0
PA14_59610	5		368.747954862191	396.0833333333333	445.0	10.0	1020.0	1010.0
PA14_01220	2		118.03804442763499	26354.285714285714	25950.0	10.0	53650.0	53640.0	PA14_01160-PA14_01170-PA14_01180-PA14_01190-PA14_01200-PA14_01220-PA14_01230
PA14_54950	18		93.1992509785121	18430.0395256917	120.0	5.0	51840.0	51835.0	PA14_54960-PA14_54950
PA14_63605	15	fdnG	2539.34143126632	27600.809523809523	24515.0	150.0	72420.0	72270.0	fdnG-fdnH-fdnI
PA14_28330	13		6.89505020191222	21014.375	18915.0	10.0	61000.0	60990.0	PA14_28320-PA14_28330
PA14_59280	11	pilP2	11.59718673540015	427.7922077922078	370.0	10.0	1090.0	1080.0	pilL2-pilN2-pilO2-pilP2-pilQ2-pilR2-pilS2-pilT2-pilV2-pilM2
PA14_30890	13		2.9607532875190747	21014.375	18915.0	10.0	61000.0	60990.0
PA14_15350	10		819.3081597435739	99.25	80.0	10.0	260.0	250.0
PA14_40740	36		135.398873070129	14603.333333333334	12995.0	10.0	39890.0	39880.0	PA14_40730-PA14_40740
PA14_09460	16	phzC1	218.485428439663	26922.012012012012	23935.0	10.0	68830.0	68820.0	phzC1-phzD1-phzE1-phzF1-phzG1
PA14_31270	3		59.9982635440033	5126.222222222223	270.0	10.0	25160.0	25150.0	PA14_31280-PA14_31270
PA14_15600	10		825.6149755098654	99.25	80.0	10.0	260.0	250.0	PA14_15590-PA14_15600
PA14_55050	18		581.7302861407105	18430.0395256917	120.0	5.0	51840.0	51835.0
PA14_28360	15		132.89762610031198	27600.809523809523	24515.0	150.0	72420.0	72270.0
PA14_10300	15		20.242831916399147	27600.809523809523	24515.0	150.0	72420.0	72270.0
PA14_59130	11		84.04530225952085	427.7922077922078	370.0	10.0	1090.0	1080.0	PA14_59130-PA14_59140-PA14_59150
PA14_46540	21		521.528539768963	17390.733333333334	17730.0	10.0	51917.0	51907.0
PA14_15475	14	merT	56.27708456009824	37.67857142857143	25.0	5.0	110.0	105.0
PA14_60100	5	dtd	557.473173468991	396.0833333333333	445.0	10.0	1020.0	1010.0	dcd2-PA14_60110-dtd
PA14_54720	6		11.47172075941275	19600.46783625731	17670.0	30.0	54330.0	54300.0	PA14_54730-PA14_54720
PA14_51530	17	exoU	1668.81093197879	16672.402597402597	16010.0	10.0	52555.0	52545.0	exoU-spcU
PA14_15570	10		211.5427161968195	99.25	80.0	10.0	260.0	250.0
PA14_59650	11		20.3299426704384	427.7922077922078	370.0	10.0	1090.0	1080.0	PA14_59640-PA14_59650-PA14_59660-PA14_59670-PA14_59680-PA14_59690-PA14_59700
PA14_36030	30		33.974726376358205	1985.357142857143	130.0	10.0	7770.0	7760.0	PA14_36030-PA14_36020-PA14_36010
PA14_22530	20		42.40739978957279	16997.875	13987.5	10.0	54550.0	54540.0	PA14_22530-PA14_22520
PA14_27680	4		7.1883128287683355	30.178571428571427	27.5	5.0	70.0	65.0	PA14_27680-PA14_27675
PA14_59700	11		25.76631460423815	427.7922077922078	370.0	10.0	1090.0	1080.0	PA14_59640-PA14_59650-PA14_59660-PA14_59670-PA14_59680-PA14_59690-PA14_59700
PA14_16110	6		141.4927388970545	19600.46783625731	17670.0	30.0	54330.0	54300.0
PA14_59780	38	rcsC	731.6576447806069	275.45454545454544	165.0	10.0	970.0	960.0	PA14_59800-pvrR-rcsC-rcsB
