	module id	gene name	median expression	mean pairwise dist	median pairwise dist	min pairwise dist	max pairwise dist	range pairwise dist	operon_name
PA14_54890	18		229.0398034622665	18430.0395256917	120.0	5.0	51840.0	51835.0	PA14_54890-PA14_54880
PA14_22230	33		17.165490820469103	8740.190476190477	115.0	10.0	45630.0	45620.0
PA14_38000	15		23.581670873049703	27600.809523809523	24515.0	150.0	72420.0	72270.0
PA14_49540	0		111.79715431688899	27627.636363636364	32120.0	10.0	58560.0	58550.0	PA14_49530-PA14_49540
PA14_24360	3		80.21151284293128	5126.222222222223	270.0	10.0	25160.0	25150.0
PA14_15510	10	traJ	51.347355652483955	99.25	80.0	10.0	260.0	250.0
PA14_03360	27		406.98637602772	20392.197802197803	12310.0	10.0	53940.0	53930.0	PA14_03360-PA14_03350
PA14_31200	7		8.40922516167112	2085.75	170.0	10.0	15750.0	15740.0	PA14_31200-PA14_31190
PA14_41290	35		7.550444259536584	10939.545454545454	10040.0	10.0	36430.0	36420.0	PA14_41280-PA14_41290
PA14_60120	5	dcd2	856.246279667307	396.0833333333333	445.0	10.0	1020.0	1010.0	dcd2-PA14_60110-dtd
PA14_27660	4		6.632990483665685	30.178571428571427	27.5	5.0	70.0	65.0	PA14_27660-PA14_27650
PA14_59850	32		20.485345674774	487.57575757575756	655.0	10.0	1030.0	1020.0
PA14_40820	16		48.253571418066855	26922.012012012012	23935.0	10.0	68830.0	68820.0
PA14_35850	9		1208.47697041413	13.333333333333334	10.0	10.0	20.0	10.0	tnpT-PA14_35840-PA14_35850
PA14_21560	16		74.72921543799565	26922.012012012012	23935.0	10.0	68830.0	68820.0	PA14_21540-PA14_21550-PA14_21560
PA14_59480	37		75.14567477878035	1143.6190476190477	80.0	10.0	8230.0	8220.0	PA14_59480-PA14_59490-PA14_59500-PA14_59510
PA14_51580	15		17.041169328685946	27600.809523809523	24515.0	150.0	72420.0	72270.0
PA14_69520	0		608.3407474241724	27627.636363636364	32120.0	10.0	58560.0	58550.0	PA14_69550-PA14_69540-PA14_69520
PA14_54610	20		28.490572467210253	16997.875	13987.5	10.0	54550.0	54540.0	PA14_54610-PA14_54600
PA14_23440	28	orfL	2258.9403167227547	16129.70588235294	15605.0	10.0	38240.0	38230.0	orfL-orfM
PA14_35740	19		482.34031979978596	11189.333333333334	50.0	10.0	31470.0	31460.0	PA14_35740-PA14_35750
PA14_15560	10		121.3418930177015	99.25	80.0	10.0	260.0	250.0
PA14_15370	14		17.006547781545997	37.67857142857143	25.0	5.0	110.0	105.0
PA14_59790	38	pvrR	757.9509706928995	275.45454545454544	165.0	10.0	970.0	960.0	PA14_59800-pvrR-rcsC-rcsB
PA14_59660	11		20.1345180254309	427.7922077922078	370.0	10.0	1090.0	1080.0	PA14_59640-PA14_59650-PA14_59660-PA14_59670-PA14_59680-PA14_59690-PA14_59700
PA14_34610	1		9.64067843373859	25147.2	21450.0	70.0	70860.0	70790.0	gnuT-PA14_34610
