	corr to exoU	gene name	label
PA14_55610	0.03886832810457906	dnaE2	core
PA14_55600	-0.002047918074595628		core
PA14_55590	-0.05795947788902185		core
PA14_55580	0.03362124427379195	nemO	core
PA14_55570	0.07410101994583662		core
PA14_55560	-0.0552081015432231		core
PA14_55550	-0.03349863050461285		core
PA14_55540	-0.10242819291358424		core
PA14_55530	0.04259404909118488	hxcW	core
PA14_55520	-0.20074633009976767	hxcU	core
PA14_55510	-0.10366914447432148	hxcP	core
PA14_55500	-0.10669838149030604	hxcV	core
PA14_55490	-0.03951305959733073	hxcT	core
PA14_55480	-0.03934611989324797	hxcX	core
PA14_55470	-0.1074997036537262	hxcY	core
PA14_55460	-0.06161975089671956	hxcZ	core
PA14_55450	-0.12359943133357358	hxcQ	core
PA14_55440	-0.007651855839975527	hxcR	core
PA14_55430	-0.09207112888456513	hxcS	core
PA14_55410	-0.051539010471449084	lapC	core
PA14_55400	-0.07611563115696304		core
PA14_55390	-0.09908684004282743		core
PA14_55380	-0.09552790518943947		core
PA14_55360	-0.12559035532022458	exbB2	core
PA14_55340	-0.12407556771047835	exbD2	core
PA14_55330	-0.1328707573911296		core
PA14_55320	0.0052282908239222855		core
PA14_55300	-0.12665496219514732		core
PA14_55290	-0.06869138017430665		core
PA14_55280	-0.10975001649077802		core
PA14_55260	-0.14254973553811848		core
PA14_55250	-0.003220700301183957		core
PA14_55240	0.03281995204029324		acc
PA14_55230	-0.05956222666538188		core
PA14_55220	-0.0052176862686007155		core
PA14_55200	0.008538275724003976		core
PA14_55180	-0.010189816212385456		core
PA14_55170	0.03337781486314725	cat	core
PA14_55160	-0.023212319408358287	toxR	core
PA14_55150	0.046618243841643016		core
PA14_55140	0.053807480560304315		core
PA14_55130	0.03461015507808771	gloA2	core
PA14_55110	0.12424602388777928		core
PA14_55100	0.14504882261484062		core
PA14_55090	0.1023680612032523		acc
PA14_55080	0.03834842857032328		acc
PA14_55070	-0.0055897519617020075		acc
PA14_55060	0.08752035836313755		acc
PA14_55050	0.010729117912504206		acc
PA14_55040	-0.061850842741741414		acc
PA14_55030	-0.02831713482876629		acc
PA14_55020	-0.050743055139966665		acc
PA14_55000	0.035602917473561244		acc
PA14_54980	-0.055923774322259714	ybtQ	acc
PA14_54970	-0.002563649645668268		acc
PA14_54960	-0.003982443699129585		acc
PA14_54950	-0.06524804687145544		acc
PA14_54940	0.02411174603960465		acc
PA14_54930	-0.04375678356562706		acc
PA14_54920	0.028726441353720426		acc
PA14_54910	0.041678313780671813		acc
PA14_54900	-0.08969097983279634		acc
PA14_54890	-0.016151826245176002		acc
PA14_54880	-0.005011446267350128		acc
PA14_54870	0.09620284926273936		acc
PA14_54860	-0.009168408539600251		acc
PA14_54850	-0.14591719289584		acc
PA14_54830	-0.012694775139953169		core
PA14_54820	-0.00421093045021682		core
PA14_54810	0.14022105410467053		core
PA14_54800	-0.13039682305497566		core
PA14_54790	-0.0010664343119084476		core
PA14_54770	0.09867290559176878		core
PA14_54760	0.17964482633802234		core
PA14_54750	-0.05339692830238252		acc
PA14_54740	-0.009832272035006294		core
PA14_54730	-0.0592613262576995		core
PA14_54720	-0.052523318127427776		acc
PA14_54710	0.062296729665440524		core
PA14_54700	-0.03217935002055125		core
PA14_54690	0.05154929334173775		core
PA14_54680	0.10309093824085397		core
PA14_54670	0.013939125213485828		core
PA14_54660	0.05633428822036425		core
PA14_54640	0.039531112582275284		core
PA14_54630	0.09063659250277063		core
PA14_54620	0.03641071344711425		core
PA14_54610	0.02398219417106444		acc
PA14_54600	0.02504511179028675		core
