BioProject_ID,SRA_ID,Strain,Genotype,Abx_Marker,Variant_Phenotype,Medium,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA648174,NA,PAO1,"mvaU-vsvG, mvaT-vsvG, delta-pilY1, delta-pilY1 rpoD-vsvG, delta-mvaU delta-mvaT delta-pilY1, delta-mvaU delta-mvaT delta-pilY1 rpoD-vsvG",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA648174,NA,PAO1,"delta-pilY1, delta-pilY1 delta-mvaU, delta-pilY1 delta-mvaU delta-mvaT, delta-pilY1 and epitope-tagged rpoD-vsvG, delta-pilY1 delta-mvaU delta-mvaT and epitope-tagged rpoD-vsvG",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA648195,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP273352,PAO1,"delta-pilY1, delta-pilY1 delta-mvaU, delta-pilY1 delta-mvaU delta-mvaT, delta-pilY1 and epitope-tagged rpoD-vsvG, delta-pilY1 delta-mvaU delta-mvaT and epitope-tagged rpoD-vsvG",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA668371,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP286915,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA685418,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP298021,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA681237,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP294562,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA681237,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP294562,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA612338,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP252624,PA14,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA641380,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP268471,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA641380,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP268471,PAO1,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA511884,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP174492,PA14,delta-rclR,NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA649983,NA,PAO1,"PA0535 mutant, PA1359 mutant, PA1884 mutant, PA2312 mutant, PA4499 mutant, PA4987 mutant, PA5301 mutant",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA649981,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP274667,PAO1,"PA0535 mutant, PA1359 mutant, PA1884 mutant, PA2312 mutant, PA4499 mutant, PA4987 mutant, PA5301 mutant",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA530399,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP190130,PA3,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA594638,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP235563,Other Species,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA594638,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP235563,PA14,"delta-fliC, delta-flgK, delta-motABCD",NA,Knockout,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA659742,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP279065,PA14,NA,NA,NA,LB,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA528935,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP189356,PAO1,NA,NA,NA,LB,,
