BioProject_ID,SRA_ID,Strain,Genotype,Abx_Marker,Variant_Phenotype,Medium,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,PAO1,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA638918,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP266954,Other Species,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA646382,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP272018,PAO1,delta-Pf4,NA,Knockout,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA691924,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP301614,PAO1,delta-femI,NA,Knockout,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA579069,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP226701,PAO1,NA,NA,NA,Minimal/Defined Media,M9 Media,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA421309,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP126236,PAO1,NA,NA,NA,Minimal/Defined Media,M9 Media,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB36276,NA,PAO1,fusA1^,NA,NA,Minimal/Defined Media,M9 Media,
https://www.ncbi.nlm.nih.gov/bioproject/PRJEB14322/,NA,PAO1,GbuA^,NA,NA,Minimal/Defined Media,Medium B,
https://www.ncbi.nlm.nih.gov/bioproject/PRJEB12304/,NA,NA,NA,NA,NA,Minimal/Defined Media,Minimal Medium,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB34518,NA,PAO1,NA,NA,NA,Minimal/Defined Media,Minimal Medium,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA702527,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP306891,PAO1,"delta-rhlE2, delta-rhlE1 delta-rhlE2",NA,Knockout,Minimal/Defined Media,MMP,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB34578,NA,PAO1,NA,NA,NA,Minimal/Defined Media,MOPS,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB34916,NA,PAO1,NA,NA,NA,Minimal/Defined Media,MOPS,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA578924,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP226640,PA14,NA,Polymyxin B,NA,Mueller-Hinton,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA508631,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP172693,PA14,PA1438 (MmnS),NA,Other,Mueller-Hinton,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA340943,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP083687,PA14,NfxC2,NA,Other,Mueller-Hinton,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA518730,NA,Clinical Isolates,NA,NA,NA,Mueller-Hinton ,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA414673,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA506639,NA,CCTCC AB93066,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA428284,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA491816/,NA,PAK,PmrB^,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA488531,NA,PA14,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA482690/,NA,ATCC 9027,nirS^,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB25674,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA501877,NA,Clinical Isolates,nalD^,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJEB31965/,NA,PAO1,“QS mutant without AHLs term-seq repeat”,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA504928/,NA,PAO1,"BfmR^, BfmS^",NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA504392,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA231236,NA,Clinical Isolates,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA574614/,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA611483,NA,PAO1,AntP^,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA579575,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA606809,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA353241,NA,"PAO1, PA558, PA580",NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA637626,NA,PA14,“SH2 mutant”,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA627218,NA,"PAO1, C218",pqsA^,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA650511,NA,"PAO1, Clinical Isolates",NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB37218,NA,"D421, F46D",NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA555685,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA184698,NA,Ecological Communities,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA320337,NA,PA1201,PA1201,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA246577/,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA282583,NA,PA3,NA,NA,NA,NA,,
NA,NA,NOT PSEUDOMONAS,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA236589,NA,Clinical Isolates,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA530209,NA,PA14,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA573459,NA,PAG-T,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA260130/,NA,PA14,lasB^,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA320165,NA,PAO1,"wspF, pelA, pslB, pslC, pslD",NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA229796,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA550173,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA255834,NA,"Pa-R, ATCC 9027",NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA304652,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA326119,NA,PAO1,rsmW,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA635437,NA,Clinical Isolates,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA587337,NA,PAO1,prtR,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB18543,NA,PAO1,mexT,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA638759,NA,Clinical Isolates,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA341717/,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA291292,NA,PA14,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA229797,NA,PAO1,“Pel + Psl mutant”,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA563266,NA,PA14,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA483810,NA,Clinical Isolates,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA255655,NA,"JS3F, JS1F",NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB12456,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA242019,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241720,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241955,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241721,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241950,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA242026,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241719,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241718,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241953,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241728,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241732,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241959,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241740,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241724,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241746,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241951,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241956,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241730,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA242016,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241742,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241733,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241744,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241737,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241738,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241727,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241739,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241736,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA242015,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA242030,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241731,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241734,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA242023,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241958,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241735,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241952,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241729,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241962,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241946,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA242028,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241725,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241747,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241743,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241961,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241726,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241723,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241960,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241716,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241948,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241943,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241949,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241717,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241722,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241741,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241745,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA241954,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA242017,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA242024,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA242027,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA289564,NA,ATCC 1045,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA289203,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB24331,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA258237,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA315087,NA,PAO1,fliA^,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA320966/,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA349811,NA,PAO1,"PrrF1^, PrrF2^, PrrF1++ (sRNA)",NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB28696,NA,PAO1,ReaL++ (sRNA),NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA517767,NA,PA14,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA222256,NA,PAO1,"PahK^, PahK++",NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA213568,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB8227,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA264943,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA266474,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA400528,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA374864,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA392168,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB6998,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA360055,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA379630,NA,"PAO1, ATCC 33988",NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA448905,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA381683,NA,PAO1,"yhjH^, wspF^",NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA381842,NA,PAO1,msr(E)++,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA448015/,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA479815,NA,PAO1,"GUN (gltK^, gltG^, gltF^, gntP^, kguT^)",NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB22593,NA,PA14,pail^ (sRNA),NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA401973,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA436889,NA,PAO1,cysB^,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA397946,NA,PA14,hepP^,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA326891,NA,PA14,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA373918,NA,PA14,fis^,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB24427,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA393588,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA437845/,NA,"PA14, LESB58, PAO1",NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/PRJNA386078/,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA394520,NA,PAO1,“CDI Mutant”,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJEB22802,NA,PAO1,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA600167,NA,NA,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA573460,NA,PAM,NA,NA,NA,NA,,
https://www.ncbi.nlm.nih.gov/bioproject/?term=PRJNA562449,NA,PA2596,PA2596,NA,NA,NA,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA639519,NA,PAO1,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA635350,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP264926,PAO1,NA,Azithromycin,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA594631,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP235560,PAO1,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA611835,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP252284,PAO1,overexpressing PA2952.1,NA,Overproducer,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA672283,NA,PAO1,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA672286,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP288730,PAO1,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA594638,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP235563,Other Species,"delta-fliC, delta-flgK, delta-motABCD",NA,Knockout,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA613082,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP253109,PAO1,delta-relA delta-spoT,NA,Knockout,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA566423,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP222562,PAO1,PA0805.1 over-expression,NA,Overproducer,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA625101,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP256305,PA14,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA625101,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP256305,Other Species,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA625101,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP256305,PA14,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA625096,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP256302,PAO1,"mucA22, delta-algP, mucA22 delta-algP",NA,Knockout,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA597035,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP238407,PA14,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA616314,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP254642,PA14,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA576893,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP225091,LESB58,delta-relA delta-spoT,NA,Knockout,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA603498,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP245583,PAO1,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA512099,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP174640,PAO1,NA,NA,NA,Other,,
BioProject: https://www.ncbi.nlm.nih.gov/bioproject/PRJNA497479,SRA: https://www.ncbi.nlm.nih.gov/sra?term=SRP166133,PA14,NA,NA,NA,Other,,
