	module id
PA14_55610	1.0
PA14_55600	1.0
PA14_55590	61.0
PA14_55580	33.0
PA14_55570	33.0
PA14_55560	38.0
PA14_55550	1.0
PA14_55540	1.0
PA14_55530	1.0
PA14_55520	1.0
PA14_55510	1.0
PA14_55500	1.0
PA14_55490	1.0
PA14_55480	1.0
PA14_55470	1.0
PA14_55460	1.0
PA14_55450	1.0
PA14_55440	1.0
PA14_55430	1.0
PA14_55410	1.0
PA14_55400	1.0
PA14_55390	38.0
PA14_55380	1.0
PA14_55360	1.0
PA14_55340	1.0
PA14_55330	1.0
PA14_55320	38.0
PA14_55300	38.0
PA14_55290	38.0
PA14_55280	1.0
PA14_55260	1.0
PA14_55250	1.0
PA14_55240	1.0
PA14_55230	1.0
PA14_55220	1.0
PA14_55200	49.0
PA14_55180	2.0
PA14_55170	1.0
PA14_55160	1.0
PA14_55150	1.0
PA14_55140	51.0
PA14_55130	51.0
PA14_55110	10.0
PA14_55100	1.0
PA14_55090	25.0
PA14_55080	25.0
PA14_55070	3.0
PA14_55060	1.0
PA14_55050	1.0
PA14_55040	1.0
PA14_55030	1.0
PA14_55020	1.0
PA14_55000	1.0
PA14_54980	1.0
PA14_54970	1.0
PA14_54960	1.0
PA14_54950	1.0
PA14_54940	1.0
PA14_54930	1.0
PA14_54920	1.0
PA14_54910	1.0
PA14_54900	1.0
PA14_54890	49.0
PA14_54880	55.0
PA14_54870	33.0
PA14_54860	33.0
PA14_54850	2.0
PA14_54830	56.0
PA14_54820	1.0
PA14_54810	10.0
PA14_54800	1.0
PA14_54790	4.0
PA14_54770	1.0
PA14_54760	1.0
PA14_54750	19.0
PA14_54740	19.0
PA14_54730	1.0
PA14_54720	1.0
PA14_54710	1.0
PA14_54700	1.0
PA14_54690	1.0
PA14_54680	49.0
PA14_54670	25.0
PA14_54660	5.0
PA14_54640	5.0
PA14_54630	5.0
PA14_54620	5.0
PA14_54610	1.0
PA14_54600	1.0
PA14_54590	53.0
PA14_54580	1.0
PA14_54570	1.0
PA14_54550	1.0
PA14_54540	1.0
PA14_54520	1.0
PA14_54510	1.0
PA14_54500	1.0
PA14_54490	1.0
PA14_54480	26.0
PA14_54470	21.0
PA14_54460	7.0
PA14_54450	16.0
PA14_54430	19.0
PA14_54420	19.0
PA14_54410	29.0
PA14_54400	9.0
PA14_54390	5.0
PA14_54370	31.0
PA14_54350	31.0
PA14_54340	10.0
PA14_54330	43.0
PA14_54320	18.0
PA14_54300	2.0
PA14_54290	48.0
PA14_54270	36.0
PA14_54260	36.0
PA14_54240	10.0
PA14_54230	14.0
PA14_54220	30.0
PA14_54210	53.0
PA14_54190	1.0
PA14_54180	52.0
PA14_54170	27.0
PA14_54150	31.0
PA14_54130	19.0
PA14_54120	1.0
PA14_54110	6.0
PA14_54090	1.0
PA14_54080	10.0
PA14_54070	4.0
PA14_54050	11.0
PA14_54040	31.0
PA14_54030	1.0
PA14_54010	11.0
PA14_54000	22.0
PA14_53980	14.0
PA14_53970	14.0
PA14_53950	5.0
PA14_53940	14.0
PA14_53920	14.0
PA14_53910	49.0
PA14_53900	1.0
PA14_53890	1.0
PA14_53880	1.0
PA14_53870	1.0
PA14_53860	41.0
PA14_53850	16.0
PA14_53840	51.0
PA14_53830	1.0
PA14_53820	45.0
PA14_53810	45.0
PA14_53800	1.0
PA14_53790	11.0
PA14_53780	1.0
PA14_53770	1.0
PA14_53750	1.0
PA14_53740	1.0
PA14_53730	40.0
PA14_53720	1.0
PA14_53700	1.0
PA14_53690	1.0
PA14_53680	1.0
PA14_53670	35.0
PA14_53660	1.0
PA14_53650	40.0
PA14_53640	1.0
PA14_53630	1.0
PA14_53620	6.0
PA14_53610	35.0
PA14_53600	35.0
PA14_53590	35.0
PA14_53580	9.0
PA14_53570	49.0
PA14_53560	1.0
PA14_53550	1.0
PA14_53540	1.0
PA14_53530	30.0
PA14_53520	21.0
PA14_53510	1.0
PA14_53500	28.0
PA14_53490	2.0
PA14_53480	30.0
PA14_53470	30.0
PA14_53450	9.0
PA14_53430	12.0
PA14_53420	17.0
PA14_53410	41.0
PA14_53400	1.0
PA14_53390	1.0
PA14_53380	38.0
PA14_53370	6.0
PA14_53360	1.0
PA14_53340	1.0
PA14_53330	48.0
PA14_53310	1.0
PA14_53300	1.0
PA14_53290	10.0
PA14_53270	41.0
PA14_53260	1.0
PA14_53250	22.0
PA14_53230	5.0
PA14_53220	29.0
PA14_53210	1.0
PA14_53200	41.0
PA14_53190	41.0
PA14_53180	43.0
PA14_53160	11.0
PA14_53150	21.0
PA14_53140	10.0
PA14_53120	39.0
PA14_53110	1.0
PA14_53100	1.0
PA14_53090	1.0
PA14_53070	22.0
PA14_53050	42.0
PA14_53040	0.0
PA14_53030	4.0
PA14_53020	28.0
PA14_53010	5.0
PA14_53000	50.0
PA14_52990	5.0
PA14_52980	1.0
PA14_52960	1.0
PA14_52940	1.0
PA14_52930	1.0
PA14_52920	1.0
PA14_52910	1.0
PA14_52900	1.0
PA14_52890	1.0
PA14_52880	1.0
PA14_52870	1.0
PA14_52850	1.0
PA14_52840	1.0
PA14_52820	1.0
PA14_52810	1.0
PA14_52800	14.0
PA14_52790	5.0
PA14_52780	2.0
PA14_52770	2.0
PA14_52760	34.0
PA14_52750	2.0
PA14_52740	54.0
PA14_52730	1.0
PA14_52720	5.0
PA14_52700	5.0
PA14_52690	5.0
PA14_52670	5.0
PA14_52660	5.0
PA14_52640	5.0
PA14_52630	35.0
PA14_52610	1.0
PA14_52600	12.0
PA14_52580	12.0
PA14_52570	19.0
PA14_52530	9.0
PA14_52520	45.0
PA14_52510	45.0
PA14_52500	45.0
PA14_52490	45.0
PA14_52480	45.0
PA14_52460	21.0
PA14_52440	1.0
PA14_52430	36.0
PA14_52420	2.0
PA14_52400	10.0
PA14_52380	23.0
PA14_52370	23.0
PA14_52350	7.0
PA14_52340	1.0
PA14_52330	51.0
PA14_52310	1.0
PA14_52300	1.0
PA14_52290	1.0
PA14_52280	28.0
PA14_52270	1.0
PA14_52260	1.0
PA14_52250	33.0
PA14_52240	33.0
PA14_52230	1.0
PA14_52210	28.0
PA14_52190	14.0
PA14_52180	3.0
PA14_52160	9.0
PA14_52150	36.0
PA14_52140	0.0
PA14_52130	25.0
PA14_52120	4.0
PA14_52110	4.0
PA14_52090	9.0
PA14_52080	9.0
PA14_52070	40.0
PA14_52060	53.0
PA14_52050	34.0
PA14_52040	43.0
PA14_52020	39.0
PA14_52010	43.0
PA14_52000	2.0
PA14_51990	12.0
PA14_51980	28.0
PA14_51960	1.0
PA14_51950	14.0
PA14_51940	40.0
PA14_51930	11.0
PA14_51920	11.0
PA14_51910	12.0
PA14_51900	12.0
PA14_51890	1.0
PA14_51880	5.0
PA14_51860	17.0
PA14_51850	17.0
PA14_51840	36.0
PA14_51830	30.0
PA14_51820	12.0
PA14_51810	18.0
PA14_51800	34.0
PA14_51790	53.0
PA14_51780	2.0
PA14_51770	20.0
PA14_51750	20.0
PA14_51740	20.0
PA14_51730	20.0
PA14_51720	20.0
PA14_51710	9.0
PA14_51690	36.0
PA14_51680	43.0
PA14_51670	4.0
PA14_51650	6.0
PA14_51640	6.0
PA14_51630	6.0
PA14_51620	38.0
PA14_51610	38.0
PA14_51600	38.0
PA14_51590	38.0
PA14_51580	38.0
