	counts	Name
PA1382	3
PA2221	3
PA1368	3
PA2104	2
PA2106	2
PA2101	2
PA0457.1	2
PA1387	2
PA1224	2
PA1388	2
PA0712	2
PA2073	2
PA5265	2
PA1389	2
PA0498	2
PA4549	2	fimT
PA0977	2
PA2074	2
PA2732	2
PA0823	2
PA3066	2
PA2100	2
PA2103	2
PA0689	2	lapB
PA1383	2
PA2333	2
PA3142	2
PA5264	2
PA0135	2
PA2771	2
PA0983	1
PA2225	1
PA1386	1
PA2223	1
PA4107	1	efhP
PA2219	1	opdE
PA3503	1
PA3065	1
PA5471.1	1
PA0445	1
PA2735	1
PA1392	1
PA2218	1
PA1937	1
PA0716	1
PA4028	1
PA0207	1
PA2105	1
PA3157	1
PA0499	1
PA2184	1
PA1385	1
PA3502	1
PA2220	1
PA3155	1	wbpE
PA2819	1
PA2730	1
PA3149	1	wbpH
PA0497	1
PA3498	1
PA3499	1
PA0257	1
PA1370	1
PA2734	1
PA2102	1
PA3501	1
PA3497	1
PA2188	1
PA2294	1
PA3159	1	wbpA
PA1935	1
PA2733	1
PA2336	1
PA1560	1
PA4146	1
PA0258	1
PA2461	1
