	counts	Name
PA14_40470	4
PA14_59000	4
PA14_31090	4
PA14_10090	3
PA14_35930	3
PA14_22280	3
PA14_48230	3
PA14_72830	3
PA14_41290	3
PA14_31340	3
PA14_33330	2
PA14_13880	2
PA14_43100	2	rhsP2
PA14_53100	2
PA14_31190	2
PA14_61180	2
PA14_10300	2
PA14_30870	2
PA14_59670	2
PA14_10120	2
PA14_25410	2
PA14_30880	2
PA14_31100	2
PA14_27660	2
PA14_51550	2
PA14_28230	2
PA14_35850	2
PA14_30690	2
PA14_59680	2
PA14_20530	2
PA14_40820	2
PA14_58900	2
PA14_22600	2
PA14_69510	2
PA14_35920	2
PA14_58760	2	pilC
PA14_59880	2
PA14_13630	2
PA14_10830	2
PA14_38000	2
PA14_00520	1
PA14_59830	1
PA14_69520	1
PA14_46460	1
PA14_33340	1
PA14_60020	1
PA14_30860	1
PA14_51590	1
PA14_39480	1
PA14_15450	1	merD
PA14_35880	1
PA14_55030	1
PA14_59700	1
PA14_22110	1
PA14_59280	1	pilP2
PA14_28810	1
PA14_59030	1
PA14_35970	1
PA14_54610	1
PA14_55060	1
PA14_31160	1
PA14_33300	1
PA14_13200	1
PA14_26200	1
PA14_15620	1
PA14_51200	1
PA14_46600	1
PA14_31260	1
PA14_54940	1
PA14_22530	1
PA14_07460	1
PA14_22520	1
PA14_15610	1
PA14_59100	1
PA14_55070	1
PA14_48510	1
PA14_59070	1
PA14_13210	1
PA14_53680	1
PA14_59140	1
PA14_28260	1
PA14_59150	1
PA14_59290	1	pilQ2
PA14_31270	1
PA14_48500	1
PA14_36020	1
PA14_54050	1
PA14_20600	1
PA14_30970	1
PA14_10110	1
PA14_59860	1
PA14_15445	1	merE
PA14_46570	1
PA14_71400	1
PA14_28330	1
PA14_14400	1
PA14_35810	1
PA14_59350	1	pilV2
PA14_35890	1
PA14_65870	1
PA14_61350	1
PA14_19600	1
PA14_59980	1
PA14_55050	1
PA14_15470	1	merP
PA14_43250	1
PA14_63450	1
PA14_46620	1
PA14_59490	1
PA14_59060	1
PA14_15460	1	merA
PA14_28830	1
PA14_69350	1
PA14_51520	1	spcU
PA14_46580	1
PA14_31110	1
PA14_49990	1
PA14_55090	1
PA14_15435	1
PA14_63440	1
PA14_31060	1
PA14_51560	1
PA14_59900	1
PA14_59590	1
PA14_35730	1
PA14_35800	1
PA14_15475	1	merT
PA14_10050	1
PA14_28540	1
PA14_30940	1
PA14_31080	1
PA14_33200	1
PA14_61340	1
PA14_33970	1
PA14_27680	1
PA14_35840	1
PA14_30890	1
PA14_54720	1
PA14_35740	1
PA14_35820	1	tnpS
PA14_15540	1
PA14_37170	1
PA14_51530	1	exoU
PA14_59180	1
PA14_22550	1
PA14_53570	1
PA14_59660	1
PA14_30950	1
PA14_63740	1
PA14_44090	1
PA14_50750	1
PA14_31240	1
PA14_52120	1
PA14_04710	1
PA14_06900	1
PA14_28840	1
PA14_28750	1
PA14_05120	1
PA14_46590	1
PA14_59820	1
PA14_31250	1
PA14_59370	1
PA14_03390	1
PA14_35720	1
PA14_14420	1
PA14_15480	1	merR
